Epoch 1: loss=0.8015  acc=0.6438  val_loss=0.9796  val_acc=0.5927
Epoch 2: loss=0.7210  acc=0.6947  val_loss=0.9050  val_acc=0.5783
Epoch 3: loss=0.6936  acc=0.7032  val_loss=0.7725  val_acc=0.6994
Epoch 4: loss=0.6782  acc=0.7118  val_loss=0.9132  val_acc=0.5788
Epoch 5: loss=0.6667  acc=0.7183  val_loss=0.7048  val_acc=0.6958
Epoch 6: loss=0.6525  acc=0.7235  val_loss=1.1528  val_acc=0.5311
Epoch 7: loss=0.6397  acc=0.7305  val_loss=0.6989  val_acc=0.6883
Epoch 8: loss=0.6297  acc=0.7332  val_loss=1.0718  val_acc=0.5044
Epoch 9: loss=0.6224  acc=0.7374  val_loss=1.1038  val_acc=0.5202
Epoch 10: loss=0.6164  acc=0.7416  val_loss=0.6778  val_acc=0.7044
Epoch 11: loss=0.6069  acc=0.7440  val_loss=0.7455  val_acc=0.6702
Epoch 12: loss=0.6030  acc=0.7475  val_loss=0.7109  val_acc=0.6953
Epoch 13: loss=0.5980  acc=0.7477  val_loss=0.6461  val_acc=0.7177
Epoch 14: loss=0.5899  acc=0.7529  val_loss=0.6384  val_acc=0.7295
Epoch 15: loss=0.5851  acc=0.7544  val_loss=0.6949  val_acc=0.7019
Epoch 16: loss=0.5806  acc=0.7556  val_loss=0.6302  val_acc=0.7396
Epoch 17: loss=0.5713  acc=0.7598  val_loss=0.7307  val_acc=0.6721
Epoch 18: loss=0.5676  acc=0.7591  val_loss=0.7288  val_acc=0.6946
Epoch 19: loss=0.5610  acc=0.7672  val_loss=0.8470  val_acc=0.6417
Epoch 20: loss=0.5502  acc=0.7713  val_loss=0.6917  val_acc=0.7120
Epoch 21: loss=0.5427  acc=0.7721  val_loss=0.7430  val_acc=0.6848
Epoch 22: loss=0.5368  acc=0.7779  val_loss=1.1400  val_acc=0.5521
Epoch 23: loss=0.5286  acc=0.7797  val_loss=0.6879  val_acc=0.7101
Epoch 24: loss=0.5224  acc=0.7812  val_loss=1.1672  val_acc=0.5738
Epoch 25: loss=0.5121  acc=0.7858  val_loss=1.7026  val_acc=0.4525
Epoch 26: loss=0.5035  acc=0.7936  val_loss=0.7390  val_acc=0.6876
Epoch 27: loss=0.4894  acc=0.7968  val_loss=0.7185  val_acc=0.7115
Epoch 28: loss=0.4805  acc=0.8020  val_loss=0.6992  val_acc=0.6990
Epoch 1: loss=0.5881  acc=0.7524  val_loss=0.6228  val_acc=0.7377
Epoch 2: loss=0.5801  acc=0.7550  val_loss=0.7073  val_acc=0.7021
