Epoch 1: loss=0.7717  acc=0.6643  val_loss=1.0646  val_acc=0.5654
Epoch 2: loss=0.6878  acc=0.7095  val_loss=0.8374  val_acc=0.6245
Epoch 3: loss=0.6679  acc=0.7170  val_loss=0.7519  val_acc=0.6596
Epoch 4: loss=0.6556  acc=0.7233  val_loss=0.7028  val_acc=0.6709
Epoch 5: loss=0.6415  acc=0.7291  val_loss=0.6752  val_acc=0.7007
Epoch 6: loss=0.6288  acc=0.7390  val_loss=0.6465  val_acc=0.7196
Epoch 7: loss=0.6198  acc=0.7408  val_loss=0.9960  val_acc=0.5220
Epoch 8: loss=0.6126  acc=0.7425  val_loss=0.6741  val_acc=0.7103
Epoch 9: loss=0.6068  acc=0.7474  val_loss=0.6499  val_acc=0.7203
Epoch 10: loss=0.5998  acc=0.7520  val_loss=0.6190  val_acc=0.7400
Epoch 11: loss=0.5931  acc=0.7540  val_loss=0.8150  val_acc=0.6294
Epoch 12: loss=0.5913  acc=0.7533  val_loss=0.7047  val_acc=0.6997
Epoch 13: loss=0.5857  acc=0.7572  val_loss=0.7448  val_acc=0.6564
Epoch 14: loss=0.5820  acc=0.7587  val_loss=0.6696  val_acc=0.7018
Epoch 15: loss=0.5767  acc=0.7601  val_loss=0.6582  val_acc=0.7246
Epoch 16: loss=0.5735  acc=0.7597  val_loss=0.6459  val_acc=0.7288
Epoch 17: loss=0.5731  acc=0.7629  val_loss=0.6917  val_acc=0.6978
Epoch 18: loss=0.5647  acc=0.7646  val_loss=0.6318  val_acc=0.7192
Epoch 19: loss=0.5638  acc=0.7655  val_loss=0.7679  val_acc=0.6587
Epoch 20: loss=0.5630  acc=0.7656  val_loss=0.6126  val_acc=0.7372
Epoch 21: loss=0.5598  acc=0.7686  val_loss=0.7418  val_acc=0.6840
Epoch 22: loss=0.5594  acc=0.7655  val_loss=0.7493  val_acc=0.6636
Epoch 23: loss=0.5550  acc=0.7709  val_loss=0.7448  val_acc=0.6812
Epoch 24: loss=0.5508  acc=0.7701  val_loss=0.5934  val_acc=0.7532
Epoch 25: loss=0.5524  acc=0.7714  val_loss=0.5857  val_acc=0.7475
Epoch 26: loss=0.5477  acc=0.7724  val_loss=0.6917  val_acc=0.6941
Epoch 27: loss=0.5471  acc=0.7732  val_loss=0.6230  val_acc=0.7257
Epoch 28: loss=0.5441  acc=0.7743  val_loss=0.7744  val_acc=0.6594
Epoch 29: loss=0.5412  acc=0.7756  val_loss=0.6562  val_acc=0.7218
Epoch 30: loss=0.5367  acc=0.7762  val_loss=0.6602  val_acc=0.7131
Epoch 31: loss=0.5381  acc=0.7769  val_loss=0.5956  val_acc=0.7429
Epoch 32: loss=0.5354  acc=0.7796  val_loss=0.5625  val_acc=0.7623
Epoch 33: loss=0.5314  acc=0.7810  val_loss=0.6514  val_acc=0.7044
Epoch 34: loss=0.5282  acc=0.7819  val_loss=0.6336  val_acc=0.7339
Epoch 35: loss=0.5278  acc=0.7822  val_loss=0.6592  val_acc=0.7035
Epoch 36: loss=0.5302  acc=0.7787  val_loss=0.6414  val_acc=0.7215
Epoch 37: loss=0.5245  acc=0.7819  val_loss=0.6271  val_acc=0.7157
Epoch 38: loss=0.5213  acc=0.7822  val_loss=0.5767  val_acc=0.7550
Epoch 39: loss=0.5204  acc=0.7854  val_loss=0.6644  val_acc=0.7075
Epoch 40: loss=0.5200  acc=0.7844  val_loss=0.6594  val_acc=0.7058
Epoch 41: loss=0.5166  acc=0.7856  val_loss=0.7730  val_acc=0.6453
Epoch 42: loss=0.5157  acc=0.7874  val_loss=0.6436  val_acc=0.7187
Epoch 43: loss=0.5124  acc=0.7886  val_loss=0.6180  val_acc=0.7271
Epoch 44: loss=0.5103  acc=0.7878  val_loss=0.6748  val_acc=0.6967
Epoch 45: loss=0.5083  acc=0.7881  val_loss=0.6092  val_acc=0.7346
Epoch 46: loss=0.5053  acc=0.7922  val_loss=0.6093  val_acc=0.7445
Epoch 47: loss=0.5040  acc=0.7918  val_loss=0.6760  val_acc=0.7028
