Epoch 1: loss=0.7681  acc=0.6631  val_loss=0.6877  val_acc=0.6940
Epoch 2: loss=0.7103  acc=0.6988  val_loss=0.6793  val_acc=0.7035
Epoch 3: loss=0.6945  acc=0.7016  val_loss=0.6525  val_acc=0.7116
Epoch 4: loss=0.6801  acc=0.7084  val_loss=0.6500  val_acc=0.7201
Epoch 5: loss=0.6679  acc=0.7170  val_loss=0.6448  val_acc=0.7223
Epoch 6: loss=0.6569  acc=0.7221  val_loss=0.6464  val_acc=0.7193
Epoch 7: loss=0.6506  acc=0.7265  val_loss=0.6298  val_acc=0.7279
Epoch 8: loss=0.6432  acc=0.7305  val_loss=0.6305  val_acc=0.7323
Epoch 9: loss=0.6394  acc=0.7308  val_loss=0.6214  val_acc=0.7403
Epoch 10: loss=0.6357  acc=0.7323  val_loss=0.6309  val_acc=0.7217
Epoch 11: loss=0.6323  acc=0.7347  val_loss=0.6059  val_acc=0.7456
Epoch 12: loss=0.6266  acc=0.7364  val_loss=0.6114  val_acc=0.7400
Epoch 13: loss=0.6235  acc=0.7360  val_loss=0.6155  val_acc=0.7339
Epoch 14: loss=0.6216  acc=0.7388  val_loss=0.6104  val_acc=0.7401
Epoch 15: loss=0.6181  acc=0.7392  val_loss=0.6150  val_acc=0.7379
Epoch 16: loss=0.6165  acc=0.7421  val_loss=0.6053  val_acc=0.7428
Epoch 17: loss=0.6125  acc=0.7427  val_loss=0.6132  val_acc=0.7424
Epoch 18: loss=0.6101  acc=0.7435  val_loss=0.6030  val_acc=0.7360
Epoch 19: loss=0.6081  acc=0.7447  val_loss=0.5960  val_acc=0.7480
Epoch 20: loss=0.6062  acc=0.7445  val_loss=0.5985  val_acc=0.7493
Epoch 21: loss=0.6024  acc=0.7465  val_loss=0.5960  val_acc=0.7492
Epoch 22: loss=0.6008  acc=0.7470  val_loss=0.6040  val_acc=0.7403
Epoch 23: loss=0.5999  acc=0.7473  val_loss=0.5975  val_acc=0.7439
Epoch 24: loss=0.5984  acc=0.7479  val_loss=0.5874  val_acc=0.7533
Epoch 25: loss=0.5947  acc=0.7491  val_loss=0.5968  val_acc=0.7480
Epoch 26: loss=0.5940  acc=0.7510  val_loss=0.5953  val_acc=0.7465
Epoch 27: loss=0.5920  acc=0.7519  val_loss=0.6046  val_acc=0.7445
Epoch 28: loss=0.5897  acc=0.7520  val_loss=0.5937  val_acc=0.7463
Epoch 29: loss=0.5876  acc=0.7521  val_loss=0.5881  val_acc=0.7525
Epoch 30: loss=0.5856  acc=0.7546  val_loss=0.5997  val_acc=0.7454
Epoch 31: loss=0.5827  acc=0.7542  val_loss=0.5861  val_acc=0.7514
Epoch 32: loss=0.5818  acc=0.7537  val_loss=0.5961  val_acc=0.7471
Epoch 33: loss=0.5781  acc=0.7551  val_loss=0.6104  val_acc=0.7364
Epoch 34: loss=0.5808  acc=0.7557  val_loss=0.5915  val_acc=0.7488
Epoch 35: loss=0.5771  acc=0.7569  val_loss=0.5930  val_acc=0.7473
Epoch 36: loss=0.5742  acc=0.7580  val_loss=0.5952  val_acc=0.7490
Epoch 37: loss=0.5730  acc=0.7598  val_loss=0.5943  val_acc=0.7507
Epoch 38: loss=0.5711  acc=0.7601  val_loss=0.5922  val_acc=0.7507
Epoch 39: loss=0.5674  acc=0.7615  val_loss=0.6019  val_acc=0.7433
Epoch 40: loss=0.5656  acc=0.7638  val_loss=0.5921  val_acc=0.7492
Epoch 41: loss=0.5610  acc=0.7641  val_loss=0.6039  val_acc=0.7424
Epoch 42: loss=0.5603  acc=0.7647  val_loss=0.5975  val_acc=0.7437
Epoch 43: loss=0.5590  acc=0.7640  val_loss=0.5985  val_acc=0.7445
Epoch 44: loss=0.5521  acc=0.7667  val_loss=0.6100  val_acc=0.7435
Epoch 45: loss=0.5534  acc=0.7685  val_loss=0.6117  val_acc=0.7401
Epoch 46: loss=0.5487  acc=0.7671  val_loss=0.6025  val_acc=0.7454
Epoch 47: loss=0.5472  acc=0.7682  val_loss=0.6052  val_acc=0.7388
Epoch 48: loss=0.5452  acc=0.7697  val_loss=0.6107  val_acc=0.7441
Epoch 49: loss=0.5413  acc=0.7706  val_loss=0.6201  val_acc=0.7377
Epoch 50: loss=0.5381  acc=0.7733  val_loss=0.6058  val_acc=0.7443
Epoch 51: loss=0.5360  acc=0.7762  val_loss=0.6141  val_acc=0.7400
